symbol,timeframe,trades,longs,long_wr,shorts,short_wr,wr_fee,wr_nofee,wr_delta,net,fee,gross,profit_factor,sharpe,max_dd_pct,max_win_streak,max_lose_streak,tp,sl,cut,rev,filtered
ADA,H1,135,65,38.46,70,35.71,37.04,40.74,3.7,18.2983,98.1809,116.4792,1.0441,0.1089,1.5418,4,11,5,130,0,0,146
VTHO,H1,77,30,30.0,47,34.04,32.47,36.36,3.9,15.0187,55.436,70.4547,1.0618,0.1013,0.7173,3,7,4,73,0,0,83
IO,H1,177,88,35.23,89,37.08,36.16,38.98,2.82,12.1667,128.0442,140.2109,1.0163,0.0544,1.379,5,12,4,173,0,0,70
SYRUP,H1,81,44,47.73,37,29.73,39.51,41.98,2.47,11.2062,58.3395,69.5458,1.0335,0.0706,0.9289,3,8,2,79,0,0,44
1000000BOB,H1,58,28,42.86,30,46.67,44.83,44.83,0.0,8.4482,41.2335,49.6817,1.0358,0.0588,0.6673,4,7,1,57,0,0,39
BROCCOLI714,H1,84,45,48.89,39,30.77,40.48,42.86,2.38,6.1262,59.7241,65.8502,1.0159,0.0372,0.6562,7,7,0,84,0,0,47
龙虾,H1,20,11,27.27,9,22.22,25.0,30.0,5.0,5.4261,14.2694,19.6955,1.026,0.0316,0.6356,2,6,1,19,0,0,7
ROBO,H1,17,9,55.56,8,12.5,35.29,35.29,0.0,4.7877,12.1572,16.9449,1.0557,0.0495,0.3069,2,4,1,15,0,0,3
LIT,H1,32,16,43.75,16,31.25,37.5,40.62,3.12,2.344,22.7541,25.0981,1.0102,0.02,1.2384,4,6,1,30,1,0,17
UB,H1,54,30,43.33,24,29.17,37.04,38.89,1.85,1.8403,38.3105,40.1509,1.0059,0.0178,0.6617,5,5,3,51,0,0,37
A,H1,56,23,39.13,33,24.24,30.36,33.93,3.57,-0.2059,40.2942,40.0884,0.9989,0.0036,0.4642,2,8,0,56,0,0,61
XAUT,H1,1,1,0.0,0,0.0,0.0,0.0,0.0,-1.369,0.7138,-0.6552,0.0,0,0.0137,0,1,0,1,0,0,18
GENIUS,H1,3,1,100.0,2,0.0,33.33,33.33,0.0,-3.1636,2.1609,-1.0027,0.8473,-0.06,0.2068,1,2,0,3,0,0,5
GRT,H1,164,73,35.62,91,36.26,35.98,38.41,2.44,-3.2979,115.5614,112.2636,0.9941,-0.0055,1.402,4,11,6,158,0,0,115
HOME,H1,62,34,29.41,28,42.86,35.48,40.32,4.84,-3.8999,44.2629,40.363,0.9821,-0.021,0.6752,4,7,3,59,0,0,55
AZTEC,H1,21,11,27.27,10,30.0,28.57,38.1,9.52,-6.3899,14.9551,8.5652,0.9086,-0.0747,0.4164,2,9,1,20,0,0,12
TOSHI,H1,39,21,28.57,18,27.78,28.21,33.33,5.13,-6.5398,27.9423,21.4024,0.9573,-0.0449,0.7041,4,9,1,38,0,0,41
MTL,H1,148,69,34.78,79,34.18,34.46,37.16,2.7,-6.5709,106.8043,100.2334,0.9862,-0.0219,1.0316,4,8,6,142,0,0,136
BCH,H1,129,66,31.82,63,36.51,34.11,38.76,4.65,-8.2844,91.8908,83.6064,0.981,-0.0289,1.4858,3,10,7,121,1,0,163
CTK,H1,87,44,27.27,43,44.19,35.63,39.08,3.45,-12.3086,62.2753,49.9666,0.9553,-0.0774,0.9304,5,12,2,85,0,0,54
AIGENSYN,H1,7,3,66.67,4,25.0,42.86,42.86,0.0,-12.5695,4.9732,-7.5963,0.7121,-0.1917,0.3532,2,2,0,7,0,0,1
YFI,H1,114,49,30.61,65,41.54,36.84,39.47,2.63,-13.3383,80.6831,67.3448,0.9649,-0.0721,0.8414,4,7,3,111,0,0,187
1000XEC,H1,144,59,44.07,85,37.65,40.28,43.75,3.47,-14.3853,102.6406,88.2553,0.9692,-0.0693,1.1086,4,8,8,136,0,0,150
SPORTFUN,H1,36,19,42.11,17,29.41,36.11,41.67,5.56,-18.8685,25.7506,6.8821,0.9122,-0.1044,0.912,3,6,1,35,0,0,11
EPIC,H1,89,46,41.3,43,25.58,33.71,38.2,4.49,-19.3951,63.1516,43.7565,0.9571,-0.0554,1.4736,5,11,4,84,1,0,65
CFG,H1,11,6,50.0,5,20.0,36.36,45.45,9.09,-20.3504,7.8849,-12.4656,0.6488,-0.3188,0.452,1,4,0,11,0,0,4
ALL,H1,39,14,28.57,25,32.0,30.77,33.33,2.56,-21.0078,27.5552,6.5474,0.8237,-0.248,0.6307,3,12,1,38,0,0,58
ELSA,H1,18,8,25.0,10,40.0,33.33,33.33,0.0,-21.7128,12.7517,-8.9611,0.6991,-0.2975,0.4224,2,5,1,17,0,0,13
CC,H1,34,22,50.0,12,25.0,41.18,47.06,5.88,-27.4689,23.8124,-3.6564,0.8689,-0.1247,1.3594,5,7,3,30,1,0,43
MINA,H1,169,75,41.33,94,36.17,38.46,42.6,4.14,-29.0802,120.998,91.9178,0.95,-0.1151,1.5518,4,9,8,161,0,0,106
EGLD,H1,168,74,29.73,94,39.36,35.12,37.5,2.38,-29.1546,119.5329,90.3783,0.9494,-0.1294,0.9879,5,9,7,161,0,0,109
KAT,H1,18,8,50.0,10,50.0,50.0,55.56,5.56,-31.0744,12.8118,-18.2626,0.7767,-0.2059,0.9072,3,4,1,16,1,0,3
AVA,H1,101,45,37.78,56,37.5,37.62,43.56,5.94,-34.1427,72.0816,37.939,0.9104,-0.1766,1.0215,4,7,2,99,0,0,73
FET,H1,176,83,31.33,93,38.71,35.23,39.2,3.98,-34.7869,127.2576,92.4707,0.9559,-0.104,1.8404,5,9,6,169,1,0,113
4,H1,46,24,41.67,22,40.91,41.3,41.3,0.0,-35.0057,31.8204,-3.1853,0.8993,-0.1346,1.8093,3,4,2,44,0,0,19
BTC,H1,81,34,32.35,47,40.43,37.04,43.21,6.17,-37.8646,57.7107,19.8461,0.7577,-0.5419,0.5721,4,10,1,80,0,0,198
FIDA,H1,114,56,41.07,58,36.21,38.6,40.35,1.75,-38.0122,80.3958,42.3836,0.9332,-0.1452,1.9389,3,8,3,111,0,0,85
FIGHT,H1,26,13,23.08,13,46.15,34.62,38.46,3.85,-38.9525,18.2518,-20.7007,0.808,-0.2166,0.9996,2,4,1,25,0,0,10
ZAMA,H1,22,11,27.27,11,45.45,36.36,36.36,0.0,-43.1222,15.5882,-27.534,0.6632,-0.4023,0.5147,2,6,0,22,0,0,17
ACU,H1,29,14,50.0,15,33.33,41.38,41.38,0.0,-45.0783,20.5905,-24.4877,0.6811,-0.4616,0.6691,3,5,0,29,0,0,20
TRIA,H1,34,19,47.37,15,40.0,44.12,44.12,0.0,-53.0298,23.9621,-29.0677,0.824,-0.1995,1.6183,3,4,1,32,1,0,6
CVX,H1,61,30,46.67,31,25.81,36.07,36.07,0.0,-57.8939,42.9403,-14.9536,0.8078,-0.2756,1.2643,4,5,4,56,1,0,40
EVAA,H1,46,26,38.46,20,35.0,36.96,39.13,2.17,-62.8599,32.8093,-30.0506,0.8195,-0.2377,1.3435,2,5,3,42,1,0,18
CARV,H1,58,29,31.03,29,44.83,37.93,37.93,0.0,-67.5054,40.9418,-26.5636,0.6758,-0.651,1.0921,3,5,0,58,0,0,35
ENJ,H1,166,80,25.0,86,46.51,36.14,40.96,4.82,-68.3798,117.1671,48.7874,0.8948,-0.2866,1.3775,4,8,6,160,0,0,112
HOT,H1,152,70,40.0,82,39.02,39.47,41.45,1.97,-69.637,107.8238,38.1868,0.8734,-0.3263,1.0589,7,6,6,146,0,0,141
BRETT,H1,141,73,28.77,68,33.82,31.21,33.33,2.13,-69.9032,98.9016,28.9984,0.9065,-0.2282,1.7789,5,11,5,136,0,0,56
ZIL,H1,161,72,29.17,89,32.58,31.06,32.3,1.24,-94.6458,113.1556,18.5098,0.8328,-0.449,1.4453,3,12,6,155,0,0,129
BNT,H1,133,56,42.86,77,32.47,36.84,39.85,3.01,-96.8471,93.4562,-3.3909,0.7503,-0.6929,1.0498,5,11,3,130,0,0,160
STBL,H1,62,32,43.75,30,40.0,41.94,48.39,6.45,-97.6162,43.2821,-54.3341,0.712,-0.5686,1.7265,3,6,1,61,0,0,29
NFP,H1,175,85,41.18,90,40.0,40.57,43.43,2.86,-99.4112,124.3027,24.8915,0.8754,-0.3686,2.2466,6,9,4,171,0,0,79
VIRTUAL,H1,122,60,30.0,62,45.16,37.7,38.52,0.82,-99.9322,85.7696,-14.1627,0.8344,-0.3717,1.6343,4,8,5,117,0,0,51
MANA,H1,168,79,31.65,89,34.83,33.33,36.9,3.57,-117.9899,117.1724,-0.8175,0.7955,-0.5298,1.3083,3,13,4,164,0,0,103
CROSS,H1,60,28,35.71,32,34.38,35.0,36.67,1.67,-124.0605,40.5626,-83.498,0.7133,-0.4445,2.5446,4,10,1,58,1,0,54
ARIA,H1,58,29,41.38,29,34.48,37.93,41.38,3.45,-157.4246,41.3813,-116.0433,0.7187,-0.271,2.6587,3,8,0,56,1,0,28
DEXE,H1,85,44,47.73,41,39.02,43.53,45.88,2.35,-191.9633,58.6539,-133.3094,0.7319,-0.2108,4.1453,5,5,2,82,1,0,70
ASTER,H1,45,23,47.83,22,36.36,42.22,44.44,2.22,-288.5414,29.4279,-259.1135,0.3857,-0.5235,3.7631,4,7,2,42,1,0,48
LYN,H1,51,24,37.5,27,51.85,45.1,47.06,1.96,-363.2641,35.9212,-327.3429,0.5777,-0.4371,5.6655,3,5,2,46,3,0,12
LIGHT,M15,139,72,55.56,67,37.31,46.76,50.36,3.6,3161.6295,147.8243,3309.4538,6.2573,1.8879,0.8583,9,6,12,127,0,0,193
NAORIS,M15,224,115,53.91,109,43.12,48.66,52.68,4.02,2356.4492,209.43,2565.8792,3.7072,1.9137,0.5213,5,5,11,212,0,0,202
SIREN,M15,229,117,49.57,112,45.54,47.6,51.97,4.37,1908.6032,190.595,2099.1983,3.2028,1.8267,1.192,7,7,8,221,0,0,315
TUT,M15,198,108,50.0,90,44.44,47.47,51.01,3.54,1816.8729,184.242,2001.1149,4.1587,0.919,0.5311,5,10,15,183,0,0,380
BULLA,M15,188,87,54.02,101,40.59,46.81,49.47,2.66,1776.3969,159.8461,1936.243,4.2499,2.3182,0.6738,5,7,4,184,0,0,241
1000RATS,M15,582,303,47.52,279,46.59,47.08,50.0,2.92,1621.4006,509.297,2130.6976,1.9414,2.8664,0.7393,8,8,35,547,0,0,598
FARTCOIN,M15,385,207,45.89,178,50.56,48.05,51.17,3.12,1601.8601,337.4899,1939.35,2.3557,2.8257,0.643,7,7,28,357,0,0,313
D,M15,223,117,50.43,106,41.51,46.19,52.02,5.83,1520.779,185.7092,1706.4882,3.7356,2.3845,0.6292,6,7,11,211,1,0,437
PIPPIN,M15,321,159,46.54,162,43.21,44.86,47.35,2.49,1428.2901,274.5434,1702.8335,1.8724,1.5189,2.2672,7,7,19,301,1,0,309
ZEREBRO,M15,326,164,42.68,162,48.15,45.4,49.69,4.29,1365.3994,275.5545,1640.9539,2.1779,1.8149,0.7282,5,8,12,314,0,0,323
TAO,M15,392,203,44.83,189,44.44,44.64,48.72,4.08,1340.6237,320.8092,1661.4329,2.4815,1.0838,0.5523,8,9,23,369,0,0,619
SPX,M15,366,205,52.2,161,44.1,48.63,51.37,2.73,1337.1955,310.1444,1647.3398,2.3239,2.7683,0.5949,9,9,31,335,0,0,331
FHE,M15,259,137,45.26,122,45.08,45.17,51.35,6.18,1322.0121,214.4935,1536.5056,2.3206,1.3435,1.1201,6,9,17,241,1,0,289
BAS,M15,219,113,48.67,106,46.23,47.49,49.77,2.28,1315.9746,195.4867,1511.4613,2.2102,1.7379,1.1846,6,5,18,201,0,0,164
AIN,M15,162,81,46.91,81,53.09,50.0,54.94,4.94,1308.5345,129.7699,1438.3044,4.2256,1.3318,0.4388,7,5,4,158,0,0,262
GOAT,M15,297,155,52.26,142,50.7,51.52,56.23,4.71,1298.3254,255.2821,1553.6075,2.7758,2.3754,0.7277,9,7,20,277,0,0,422
MASK,M15,275,137,53.28,138,50.0,51.64,57.45,5.82,1273.376,233.8279,1507.2039,4.1817,2.3994,0.3216,7,6,12,263,0,0,951
1000SATS,M15,389,186,51.08,203,48.28,49.61,53.47,3.86,1272.2036,339.9823,1612.1859,2.1583,2.243,0.8306,10,8,18,371,0,0,742
COTI,M15,384,194,45.36,190,45.26,45.31,50.0,4.69,1264.485,316.2339,1580.719,2.572,1.129,0.5587,8,8,18,366,0,0,808
JTO,M15,433,229,44.54,204,46.08,45.27,49.42,4.16,1258.8202,375.9132,1634.7334,2.2184,2.4719,0.4494,8,11,34,399,0,0,705
USTC,M15,315,172,56.4,143,44.06,50.79,54.92,4.13,1241.5679,273.9844,1515.5523,2.983,2.8643,0.4767,6,7,9,306,0,0,925
PTB,M15,174,89,43.82,85,44.71,44.25,48.28,4.02,1210.5213,145.2584,1355.7797,3.041,1.8223,0.6214,6,7,6,168,0,0,160
WIF,M15,495,255,45.88,240,48.33,47.07,51.72,4.65,1187.9412,447.1763,1635.1176,1.9077,2.5028,0.8281,10,8,18,477,0,0,574
Q,M15,188,98,47.96,90,46.67,47.34,49.47,2.13,1184.9227,156.3992,1341.3219,2.6311,1.2737,0.6023,5,7,7,181,0,0,213
PEOPLE,M15,425,231,45.02,194,53.61,48.94,52.94,4.0,1179.7684,363.0,1542.7684,2.1593,2.8081,0.5767,7,8,22,403,0,0,680
SPELL,M15,278,141,52.48,137,45.26,48.92,53.6,4.68,1175.7087,224.0808,1399.7895,3.2062,2.0402,0.4739,6,6,10,268,0,0,911
DOGS,M15,297,148,37.84,149,55.03,46.46,49.49,3.03,1174.1507,248.3943,1422.545,2.7453,1.5992,0.5201,8,10,14,283,0,0,510
ARKM,M15,428,227,43.17,201,49.25,46.03,50.47,4.44,1172.3998,368.9131,1541.3129,2.1614,2.4785,0.8013,6,11,25,403,0,0,697
CYBER,M15,364,188,44.68,176,54.55,49.45,54.67,5.22,1157.0467,302.0086,1459.0553,2.6352,2.1476,0.3488,7,8,26,338,0,0,772
BROCCOLIF3B,M15,209,107,42.06,102,47.06,44.5,48.33,3.83,1155.7339,173.0737,1328.8076,2.112,0.8862,2.5216,4,8,6,201,2,0,339
STO,M15,199,108,45.37,91,42.86,44.22,49.75,5.53,1144.0307,177.407,1321.4378,2.8745,0.8278,0.8147,5,7,8,191,0,0,383
B,M15,181,100,61.0,81,45.68,54.14,58.01,3.87,1141.044,156.7993,1297.8433,3.5182,1.2363,0.5962,5,6,17,164,0,0,281
JELLYJELLY,M15,264,144,50.0,120,40.0,45.45,48.11,2.65,1140.6163,222.5171,1363.1335,2.2398,1.9441,0.686,7,8,13,251,0,0,318
TA,M15,146,73,58.9,73,52.05,55.48,60.96,5.48,1140.5436,119.3725,1259.9161,4.174,2.0686,0.695,6,5,10,136,0,0,281
ALCH,M15,271,159,52.83,112,43.75,49.08,52.03,2.95,1134.1298,223.4735,1357.6033,2.3006,2.0941,0.9928,7,8,13,257,1,0,397
AVAAI,M15,318,161,52.17,157,39.49,45.91,47.8,1.89,1133.6213,272.2326,1405.8539,2.0174,2.0876,0.9951,6,9,16,302,0,0,344
ARPA,M15,298,156,51.92,142,47.18,49.66,53.69,4.03,1133.231,245.2097,1378.4407,2.9866,2.6375,0.4155,5,5,15,283,0,0,896
BARD,M15,82,48,60.42,34,64.71,62.2,68.29,6.1,1129.8027,71.2476,1201.0503,11.9637,0.9244,0.2133,11,4,3,79,0,0,258
VANRY,M15,419,220,45.45,199,49.25,47.26,51.07,3.82,1123.9691,340.743,1464.7121,2.1937,2.0073,0.5487,11,9,28,391,0,0,661
DRIFT,M15,284,154,53.25,130,47.69,50.7,55.63,4.93,1110.166,233.4312,1343.5972,2.8338,2.3189,0.4021,7,8,14,270,0,0,421
BLESS,M15,177,97,49.48,80,43.75,46.89,50.28,3.39,1108.9233,146.7034,1255.6267,2.5125,1.5528,0.7566,9,7,7,170,0,0,154
RIVER,M15,171,92,53.26,79,48.1,50.88,53.8,2.92,1108.2888,145.0925,1253.3814,2.2604,1.973,1.6774,8,7,9,162,0,0,99
KOMA,M15,245,127,41.73,118,49.15,45.31,48.57,3.27,1107.5596,200.8106,1308.3702,2.6476,1.6215,0.7291,6,7,11,234,0,0,431
ENS,M15,327,180,45.0,147,40.82,43.12,52.6,9.48,1095.801,273.6237,1369.4247,2.8108,2.4268,0.3166,4,8,19,308,0,0,840
XVG,M15,374,189,37.57,185,45.41,41.44,47.06,5.61,1092.6893,316.67,1409.3594,2.1237,2.0371,0.6803,7,10,21,353,0,0,753
MAGIC,M15,375,202,44.55,173,46.82,45.6,49.87,4.27,1083.9375,302.0993,1386.0369,2.3985,2.3857,0.4917,7,11,22,353,0,0,776
PENDLE,M15,460,238,43.28,222,48.65,45.87,51.09,5.22,1080.8161,396.5609,1477.377,2.0979,2.5302,0.4772,7,11,30,430,0,0,735
ARC,M15,353,189,49.21,164,43.29,46.46,50.14,3.68,1068.5239,282.3902,1350.9141,1.758,1.6516,1.7157,5,9,21,331,1,0,272
LAB,M15,153,79,56.96,74,45.95,51.63,52.94,1.31,1058.2317,122.5876,1180.8193,2.7459,1.4311,0.8659,7,6,10,143,0,0,142
BEAMX,M15,434,215,48.37,219,50.23,49.31,55.3,5.99,1047.6817,361.1176,1408.7994,2.1977,2.9918,0.6599,7,6,28,406,0,0,740
MAV,M15,434,213,45.54,221,46.61,46.08,51.38,5.3,1046.7237,347.1475,1393.8712,2.1958,2.0522,0.4217,5,7,15,419,0,0,740
ATH,M15,214,118,52.54,96,47.92,50.47,56.07,5.61,1035.2308,178.118,1213.3488,3.5218,1.018,0.364,5,5,14,200,0,0,348
ROSE,M15,395,200,40.0,195,42.56,41.27,46.84,5.57,1035.2083,309.3595,1344.5678,2.1698,0.9714,0.4921,6,7,16,379,0,0,756
ONT,M15,261,137,43.8,124,44.35,44.06,49.43,5.36,1027.1792,215.4961,1242.6753,2.6878,1.3009,0.8127,6,9,17,244,0,0,833
PLAY,M15,196,111,54.05,85,48.24,51.53,55.1,3.57,1016.3486,160.4449,1176.7935,1.7784,0.7934,5.5694,6,6,15,179,1,1,205
SKYAI,M15,205,98,51.02,107,51.4,51.22,56.1,4.88,1009.119,161.602,1170.7211,3.0674,2.3744,0.368,5,4,15,190,0,0,261
FIDA,M15,250,127,51.97,123,52.85,52.4,55.6,3.2,1008.7725,209.0108,1217.7833,2.8244,2.1929,0.4702,5,6,15,235,0,0,568
BR,M15,174,87,43.68,87,35.63,39.66,41.38,1.72,1007.5216,147.592,1155.1137,2.6002,1.6624,0.8676,5,8,8,166,0,0,402
YGG,M15,411,201,47.76,210,47.62,47.69,53.77,6.08,1001.036,341.8483,1342.8844,2.2323,2.9966,0.4945,9,11,31,380,0,0,700
DEXE,M15,185,97,54.64,88,48.86,51.89,55.68,3.78,997.0459,152.181,1149.2269,4.0043,2.4774,0.2595,5,4,9,176,0,0,567
AUCTION,M15,313,148,49.32,165,49.09,49.2,53.67,4.47,995.6843,253.956,1249.6403,2.4516,2.5108,0.5955,7,8,20,293,0,0,803
OGN,M15,298,143,46.15,155,52.9,49.66,54.36,4.7,974.3171,247.1891,1221.5062,2.8437,2.1336,0.6052,7,12,12,286,0,0,865
BLUAI,M15,133,69,53.62,64,50.0,51.88,53.38,1.5,972.3096,107.6466,1079.9562,3.1743,1.4033,0.4953,5,7,9,124,0,0,148
PNUT,M15,290,156,51.28,134,52.24,51.72,54.48,2.76,971.4095,238.8896,1210.2991,2.4677,2.5933,0.5414,7,9,15,275,0,0,415
PIXEL,M15,411,208,47.12,203,47.29,47.2,50.61,3.41,965.3569,321.8303,1287.1872,2.0307,2.1581,0.554,5,8,29,382,0,0,651
LUNA2,M15,297,150,46.67,147,45.58,46.13,53.2,7.07,947.4956,240.4587,1187.9543,2.5716,2.2217,0.6035,5,7,6,291,0,0,836
KERNEL,M15,224,123,50.41,101,38.61,45.09,51.34,6.25,945.0588,188.031,1133.0898,2.6495,1.7212,0.6809,5,9,11,213,0,0,319
AR,M15,411,213,43.19,198,50.0,46.47,53.04,6.57,932.5781,334.8746,1267.4527,2.148,2.6045,0.6967,8,13,24,387,0,0,738
TLM,M15,346,172,44.19,174,51.15,47.69,53.18,5.49,929.6223,272.5971,1202.2195,2.4444,2.3712,0.5591,6,9,16,330,0,0,772
DYM,M15,417,222,46.85,195,41.54,44.36,49.16,4.8,927.5208,337.2311,1264.7519,1.9602,1.8759,0.6657,7,9,28,389,0,0,647
GAS,M15,244,112,56.25,132,49.24,52.46,56.56,4.1,927.0364,203.2309,1130.2673,3.4533,2.8404,0.4559,9,7,17,227,0,0,915
1000BONK,M15,481,255,43.92,226,42.92,43.45,48.44,4.99,926.9494,408.4062,1335.3556,1.7045,1.7853,0.8283,7,9,23,457,1,0,636
GRIFFAIN,M15,350,176,47.73,174,41.95,44.86,49.14,4.29,926.6055,283.436,1210.0416,1.792,1.925,1.0149,8,7,27,323,0,0,312
DODOX,M15,328,148,43.24,180,44.44,43.9,47.56,3.66,922.7385,273.2352,1195.9737,2.2022,1.5563,0.7923,7,9,16,312,0,0,771
PORTAL,M15,431,214,43.93,217,49.31,46.64,52.44,5.8,918.1828,355.4256,1273.6085,1.9223,2.3204,0.6964,7,9,21,410,0,0,686
T,M15,246,118,54.24,128,52.34,53.25,56.91,3.66,903.9096,198.4597,1102.3693,3.2501,2.7538,0.6612,8,10,21,225,0,0,849
NEIRO,M15,341,173,48.55,168,47.62,48.09,51.91,3.81,901.8297,274.2601,1176.0898,2.0904,2.481,0.6718,6,10,27,314,0,0,439
USUAL,M15,267,132,45.45,135,43.7,44.57,49.06,4.49,899.3153,213.3426,1112.6579,2.4963,1.4878,0.3873,5,8,20,247,0,0,426
GTC,M15,370,179,42.46,191,46.07,44.32,49.46,5.14,898.3226,289.6039,1187.9266,2.0594,1.1611,0.8861,6,9,12,358,0,0,738
BRETT,M15,398,206,40.78,192,46.35,43.47,47.74,4.27,893.6829,314.5921,1208.275,1.9495,1.9793,0.6164,7,10,24,374,0,0,448
TNSR,M15,399,212,43.87,187,40.11,42.11,47.37,5.26,890.7534,308.5658,1199.3192,2.0041,1.9448,0.4478,5,14,19,380,0,0,665
AXL,M15,372,190,46.32,182,40.66,43.55,49.46,5.91,889.0366,309.7519,1198.7885,2.143,1.9354,0.566,8,8,27,345,0,0,729
ACH,M15,355,193,43.01,162,44.44,43.66,48.73,5.07,883.6676,288.016,1171.6836,2.0969,1.8959,0.9572,6,8,17,338,0,0,803
ZEN,M15,380,193,47.15,187,40.64,43.95,48.68,4.74,883.4704,303.9486,1187.419,1.9243,2.2237,0.7987,7,11,27,353,0,0,810
TST,M15,211,113,56.64,98,47.96,52.61,57.35,4.74,881.8818,171.8524,1053.7342,2.6501,2.1948,0.3534,8,6,11,200,0,0,419
ENA,M15,466,248,48.79,218,45.41,47.21,53.0,5.79,881.3043,380.7361,1262.0404,1.8184,2.3361,0.6457,6,11,22,444,0,0,550
LPT,M15,357,194,46.39,163,39.88,43.42,48.74,5.32,879.308,276.1928,1155.5008,2.1196,2.0164,0.7929,6,9,22,334,1,0,736
POLYX,M15,331,163,47.85,168,47.02,47.43,50.76,3.32,878.6489,271.2561,1149.905,2.2987,2.1132,0.4799,8,10,25,306,0,0,840
SYN,M15,299,157,47.77,142,46.48,47.16,53.18,6.02,875.9144,240.224,1116.1384,2.3255,2.088,0.4832,8,6,16,283,0,0,588
ONDO,M15,406,218,48.17,188,45.21,46.8,51.48,4.68,866.9436,344.024,1210.9676,1.9885,2.3361,0.3778,10,9,20,386,0,0,707
XNY,M15,198,104,56.73,94,44.68,51.01,52.53,1.52,864.2849,157.6523,1021.9372,2.2183,1.8523,1.3024,6,9,9,189,0,0,200
TURBO,M15,390,195,47.18,195,41.54,44.36,47.95,3.59,863.8561,320.2426,1184.0987,1.8696,2.2587,0.6179,7,7,32,358,0,0,542
HMSTR,M15,240,118,38.98,122,45.9,42.5,48.75,6.25,857.7199,188.6094,1046.3293,2.6096,0.9899,0.5411,5,6,9,231,0,0,559
CYS,M15,140,81,51.85,59,54.24,52.86,55.71,2.86,856.941,116.0084,972.9494,2.9652,2.0234,0.6134,5,4,8,132,0,0,78
HOT,M15,316,151,47.68,165,47.27,47.47,52.53,5.06,856.0855,250.1586,1106.2442,2.3787,2.3356,0.4503,7,8,23,293,0,0,886
BOME,M15,413,205,47.8,208,45.19,46.49,52.3,5.81,845.5064,332.5908,1178.0972,1.9056,2.4998,0.5141,8,8,32,381,0,0,609
SAGA,M15,412,206,49.03,206,45.63,47.33,50.73,3.4,836.3762,334.7259,1171.1021,1.8043,1.9545,0.9251,9,7,18,393,1,0,599
STX,M15,341,183,57.92,158,45.57,52.2,57.48,5.28,834.8675,277.7698,1112.6372,2.4462,3.0466,0.3149,6,8,26,315,0,0,791
AAVE,M15,325,164,43.9,161,54.04,48.92,52.31,3.38,832.007,267.6212,1099.6281,2.4311,2.3191,0.4066,7,7,23,302,0,0,863
1000PEPE,M15,417,206,45.15,211,43.6,44.36,48.2,3.84,829.7109,343.3232,1173.0341,1.84,2.027,0.6791,8,10,20,397,0,0,723
ONG,M15,260,137,50.36,123,45.53,48.08,55.0,6.92,825.6079,213.6335,1039.2414,2.9042,2.2741,0.2712,6,6,14,246,0,0,897
ZETA,M15,386,194,45.36,192,42.19,43.78,45.85,2.07,820.5956,320.5923,1141.188,1.8953,1.8487,0.8723,6,11,20,366,0,0,692
AXS,M15,313,154,48.05,159,50.94,49.52,56.87,7.35,818.36,249.2027,1067.5627,2.6341,2.0937,0.3537,5,7,18,295,0,0,819
BICO,M15,411,213,48.36,198,43.43,45.99,50.36,4.38,814.8619,332.6226,1147.4845,2.0027,2.0308,0.3288,7,6,24,387,0,0,747
PROMPT,M15,218,113,51.33,105,46.67,49.08,52.75,3.67,813.3769,163.4513,976.8282,2.6402,1.3672,1.0302,8,11,10,208,0,0,339
MBOX,M15,272,130,50.0,142,42.96,46.32,52.57,6.25,813.3227,209.6341,1022.9568,2.5884,2.1999,0.412,6,7,12,260,0,0,575
DOLO,M15,192,102,43.14,90,46.67,44.79,48.96,4.17,811.3467,149.0532,960.3998,2.8928,1.1559,0.4672,8,7,12,180,0,0,299
ID,M15,301,148,52.03,153,46.41,49.17,54.49,5.32,807.9715,244.1831,1052.1547,2.6099,2.0823,0.3474,13,8,15,286,0,0,860
GIGGLE,M15,114,54,51.85,60,43.33,47.37,50.88,3.51,806.5795,96.0851,902.6647,3.3991,1.1734,0.5041,6,5,8,106,0,0,183
AGLD,M15,395,199,38.69,196,43.37,41.01,46.58,5.57,805.5475,313.3392,1118.8867,1.9868,1.647,0.4701,6,8,20,375,0,0,777
ORDI,M15,397,199,42.71,198,47.47,45.09,49.37,4.28,805.4256,315.4934,1120.919,1.9298,2.1076,0.5905,5,6,22,375,0,0,710
SSV,M15,453,240,48.75,213,46.48,47.68,51.88,4.19,803.7212,363.2413,1166.9625,1.8676,2.4227,0.5575,8,8,19,434,0,0,750
RARE,M15,249,114,42.98,135,39.26,40.96,44.98,4.02,797.6524,194.6722,992.3246,2.4489,1.7155,0.735,7,12,12,237,0,0,629
AIOT,M15,213,113,46.9,100,36.0,41.78,44.13,2.35,796.1966,163.1011,959.2977,1.9373,1.3047,0.838,5,8,9,204,0,0,249
ORDER,M15,86,48,56.25,38,50.0,53.49,59.3,5.81,795.8904,70.5773,866.4677,5.7272,1.0417,0.2194,7,6,5,81,0,0,217
TAG,M15,175,91,53.85,84,47.62,50.86,53.71,2.86,794.9531,141.3063,936.2594,2.8644,2.4276,0.5467,7,7,11,164,0,0,243
MOODENG,M15,354,189,47.09,165,43.03,45.2,49.15,3.95,786.7181,280.6486,1067.3667,1.7677,1.9469,0.7319,6,9,23,331,0,0,408
BIO,M15,270,140,48.57,130,43.08,45.93,50.74,4.81,784.5271,211.8794,996.4065,2.1503,1.9508,0.5295,8,7,16,254,0,0,374
