symbol,timeframe,trades,longs,long_wr,shorts,short_wr,wr_fee,wr_nofee,wr_delta,net,fee,gross,profit_factor,sharpe,max_dd_pct,max_win_streak,max_lose_streak,tp,sl,cut,rev,filtered
CLO,H1,45,27,51.85,18,44.44,48.89,51.11,2.22,356.3049,33.4275,389.7323,2.4011,1.0814,0.6092,6,3,2,43,0,0,20
PEOPLE,H1,189,87,48.28,102,37.25,42.33,47.09,4.76,354.3502,143.832,498.1822,1.4567,0.9356,1.0201,5,9,11,178,0,0,98
BEAMX,H1,170,88,52.27,82,36.59,44.71,48.82,4.12,351.6314,128.6266,480.258,1.5813,1.2424,1.0466,10,13,7,163,0,0,97
RIF,H1,153,80,42.5,73,43.84,43.14,44.44,1.31,350.2138,113.958,464.1718,1.6727,1.2098,0.5439,4,5,14,139,0,0,134
USUAL,H1,103,50,44.0,53,47.17,45.63,49.51,3.88,348.2036,78.796,426.9997,1.7958,1.068,0.8709,5,9,5,98,0,0,66
SAFE,H1,118,62,50.0,56,51.79,50.85,54.24,3.39,345.8167,89.9604,435.7771,1.9233,1.2119,0.3199,5,3,8,110,0,0,70
DRIFT,H1,131,70,44.29,61,50.82,47.33,48.85,1.53,345.6017,96.2858,441.8874,1.6257,0.9823,1.0628,5,6,5,126,0,0,56
UNI,H1,172,89,43.82,83,32.53,38.37,41.28,2.91,343.7562,132.3143,476.0705,1.5519,0.8301,1.1176,4,10,7,165,0,0,110
CKB,H1,174,88,40.91,86,43.02,41.95,42.53,0.57,343.0192,128.4233,471.4425,1.569,1.0312,1.8898,9,15,9,165,0,0,115
DOLO,H1,86,44,52.27,42,45.24,48.84,51.16,2.33,340.7235,64.5178,405.2413,2.0067,1.0021,0.6214,8,7,2,84,0,0,41
LPT,H1,165,87,51.72,78,37.18,44.85,46.67,1.82,339.493,122.0689,461.5619,1.5221,0.8593,1.7561,6,9,10,154,1,0,106
ANIME,H1,103,50,44.0,53,49.06,46.6,47.57,0.97,339.4393,76.5283,415.9675,1.9636,1.2814,0.5443,5,7,10,93,0,0,64
VANA,H1,114,51,45.1,63,41.27,42.98,47.37,4.39,336.9552,85.3828,422.338,1.7251,0.882,0.8265,5,9,5,109,0,0,68
SPK,H1,69,40,42.5,29,51.72,46.38,49.28,2.9,333.8467,51.6055,385.4522,2.3365,1.1679,0.7719,7,7,5,64,0,0,37
SONIC,H1,96,42,54.76,54,44.44,48.96,52.08,3.13,332.2028,73.3664,405.5692,2.1,1.3304,0.3778,4,4,6,90,0,0,65
NIL,H1,84,42,40.48,42,54.76,47.62,51.19,3.57,331.9256,62.2718,394.1974,2.0551,1.2294,0.8442,8,5,7,77,0,0,45
RED,H1,95,50,38.0,45,44.44,41.05,44.21,3.16,327.6099,71.0787,398.6886,1.9601,0.9246,0.7809,4,6,6,89,0,0,42
PROVE,H1,56,30,60.0,26,53.85,57.14,58.93,1.79,327.3138,41.788,369.1017,2.9292,1.313,0.4278,9,4,4,52,0,0,38
RVN,H1,157,79,37.97,78,46.15,42.04,43.31,1.27,325.1288,116.1697,441.2984,1.581,0.7796,0.8119,8,11,8,149,0,0,127
ORCA,H1,111,50,50.0,61,49.18,49.55,49.55,0.0,324.3048,82.4707,406.7755,1.8393,1.2083,0.5071,7,4,6,105,0,0,66
NOT,H1,146,65,32.31,81,38.27,35.62,38.36,2.74,322.7669,105.4504,428.2173,1.5301,0.7389,1.1491,7,10,8,138,0,0,85
BSV,H1,130,63,38.1,67,61.19,50.0,51.54,1.54,322.0921,97.6176,419.7097,1.8754,1.4294,0.434,5,5,6,124,0,0,143
SIGN,H1,76,38,57.89,38,31.58,44.74,48.68,3.95,321.0757,57.2948,378.3704,2.5214,1.2519,0.5737,5,10,2,74,0,0,45
1000CHEEMS,H1,120,59,47.46,61,42.62,45.0,47.5,2.5,318.7201,89.6481,408.3682,1.6454,0.804,0.8202,5,7,5,115,0,0,74
ARPA,H1,154,77,33.77,77,46.75,40.26,44.81,4.55,318.0452,113.1107,431.1559,1.6032,0.8057,0.8251,5,6,6,148,0,0,135
ACT,H1,106,52,42.31,54,42.59,42.45,46.23,3.77,310.4921,81.8721,392.3642,1.6562,0.8447,0.9252,4,6,6,100,0,0,67
AWE,H1,57,32,50.0,25,44.0,47.37,47.37,0.0,309.7547,42.6201,352.3748,2.7087,1.1055,0.4654,4,4,5,52,0,0,62
BR,H1,76,37,40.54,39,38.46,39.47,42.11,2.63,309.6647,56.0255,365.6902,1.7394,0.8346,0.803,3,8,4,72,0,0,43
DOT,H1,157,78,43.59,79,46.84,45.22,47.77,2.55,306.5644,117.2545,423.8189,1.6678,1.2741,0.8302,6,8,12,145,0,0,116
ARB,H1,160,74,50.0,86,48.84,49.38,52.5,3.12,302.9098,119.601,422.5108,1.6421,1.2545,0.5074,4,5,9,151,0,0,99
GUN,H1,76,36,44.44,40,42.5,43.42,47.37,3.95,301.559,55.739,357.298,2.0388,1.0422,0.7519,5,7,3,73,0,0,39
BIO,H1,105,53,49.06,52,32.69,40.95,43.81,2.86,299.8524,78.5568,378.4092,1.5865,0.7564,0.7527,3,6,4,101,0,0,46
ENS,H1,180,87,41.38,93,38.71,40.0,42.22,2.22,298.61,134.0244,432.6344,1.4312,0.9238,1.0049,5,13,11,169,0,0,109
XAI,H1,163,79,45.57,84,46.43,46.01,49.69,3.68,294.596,121.8067,416.4027,1.5174,1.0098,1.4952,5,7,5,158,0,0,118
